H2AZ_GSM487696	AUC = 0.655
LEF1_GSM1875146	AUC = 0.655
SMC1A_GSM2247254	AUC = 0.655
ESR1_GSM798398	AUC = 0.655
BRD4_GSM1195567	AUC = 0.655
FOXA1_GSM1410788	AUC = 0.655
POLR2A_GSM2360998	AUC = 0.655
AR_GSM2086291	AUC = 0.655
ZNF483_GSM2563981	AUC = 0.655
POLR2A_GSM1679129	AUC = 0.655
POLR2A_GSM1059397	AUC = 0.655
BRD4_GSM1328959	AUC = 0.655
E2F1_GSM2132552	AUC = 0.654
PHF8_GSM520382	AUC = 0.654
MYC_GSM1036404	AUC = 0.654
EED_GSM1427066	AUC = 0.654
AR_GSM1099030	AUC = 0.654
TCF12_GSM1122309	AUC = 0.654
MITF_GSM1226221	AUC = 0.654
POLR2A_GSM2644607	AUC = 0.654
AR_GSM2797127	AUC = 0.654
GTF2I_GSM1539058	AUC = 0.654
EZH2_GSM1003487	AUC = 0.654
POLR2A_GSM1276019	AUC = 0.654
CREB1_GSM1538431	AUC = 0.654
PHF8_GSM831008	AUC = 0.654
MAX_GSM1008617	AUC = 0.654
EZH2_GSM1385750	AUC = 0.654
E2F1_GSM2046834	AUC = 0.654
SAP30_GSM831019	AUC = 0.654
GRHL3_GSM2498561	AUC = 0.653
FAM208A_GSM2789808	AUC = 0.653
POLR2A_GSM2135494	AUC = 0.653
POLR2A_GSM1545669	AUC = 0.653
IRAK4_GSM2373719	AUC = 0.653
BRD2_GSM1328969	AUC = 0.653
GTF2B_GSM1846787	AUC = 0.653
ETV1_GSM1145322	AUC = 0.653
CDK9_GSM1249897	AUC = 0.653
POLR2A_GSM1727101	AUC = 0.653
MYCN_GSM2572349	AUC = 0.653
POLR2A_GSM1679132	AUC = 0.653
APOBEC3B_GSM1372542	AUC = 0.653
GLIS2_ENCSR535DIA_2	AUC = 0.653
SPI1_GSM1566551	AUC = 0.653
POLR2A_GSM2218629	AUC = 0.653
SP1_GSM2065874	AUC = 0.653
ZNF711_GSM2741765	AUC = 0.653
E2F1_GSM699989	AUC = 0.653
MAX_GSM1036406	AUC = 0.652
NELFA_GSM1670872	AUC = 0.652
ERG_GSM2086313	AUC = 0.652
ESR1_GSM1187116	AUC = 0.652
ZFX_ENCSR920ASP_1	AUC = 0.652
POLR2A_GSM1195570	AUC = 0.652
POLR2A_GSM2789802	AUC = 0.652
TCOF1_GSM2371334	AUC = 0.652
POLR2A_GSM1679128	AUC = 0.652
ASCL1_GSM1499404	AUC = 0.652
POLR2A_GSM937544	AUC = 0.652
MED1_GSM894081	AUC = 0.652
ESR1_GSM798395	AUC = 0.652
SRC_GSM717978	AUC = 0.652
KDM6B_GSM1366932	AUC = 0.651
ZNF343_GSM2466539	AUC = 0.651
TFAP2C_GSM889426	AUC = 0.651
MBD3_GSM2104436	AUC = 0.651
E2F4_GSM599837	AUC = 0.651
SMARCA4_GSM1518912	AUC = 0.651
POLR2A_GSM2909537	AUC = 0.651
ASH2L_GSM1489926	AUC = 0.651
MYC_GSM1907203	AUC = 0.651
PR_GSM2112808	AUC = 0.651
KDM2B_GSM2212236	AUC = 0.651
ESR1_GSM798403	AUC = 0.651
TAF1_GSM1010733	AUC = 0.651
PRDM11_GSM1354547	AUC = 0.651
E2F6_GSM935476	AUC = 0.651
ESR1_GSM798386	AUC = 0.651
MYC_GSM1099029	AUC = 0.651
SMARCA4_GSM971332	AUC = 0.651
POLR2A_GSM2667597	AUC = 0.651
RARA_GSM1469988	AUC = 0.651
HMGN3_GSM935544	AUC = 0.650
ASCL1_GSM1499400	AUC = 0.650
POLR2A_GSM1820483	AUC = 0.650
TP63_GSM830122	AUC = 0.650
MYC_GSM894060	AUC = 0.650
KDM5B_GSM1122653	AUC = 0.650
POLR2A_GSM844016	AUC = 0.650
POLR2A_GSM1670710	AUC = 0.650
ASH1L_GSM1897373	AUC = 0.650
SIN3A_ENCSR468LUO_2	AUC = 0.650
