TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF350,-0.841,8.00E-01,-1.498,0.365,0.766,9.43E-01
KDM5C,-1.263,8.97E-01,-2.123,0.434,0.768,9.44E-01
ZNF207,-2.06,9.80E-01,0.076,0.35,0.768,9.44E-01
ARNT2,-0.842,8.00E-01,-1.506,0.365,0.768,9.44E-01
RAC3,-0.965,8.33E-01,-1.097,0.35,0.769,9.44E-01
VEZF1,-1.148,8.74E-01,-1.648,0.404,0.769,9.44E-01
FOXJ2,-1.079,8.60E-01,-1.386,0.38,0.769,9.45E-01
ZNF687,-1.059,8.55E-01,-1.384,0.378,0.77,9.46E-01
MCM7,-1.681,9.54E-01,-0.459,0.367,0.772,9.47E-01
LRWD1,-1.439,9.25E-01,-0.054,0.264,0.772,9.47E-01
ZNF146,-1.244,8.93E-01,-1.418,0.391,0.773,9.47E-01
HDAC8,-1.41,9.21E-01,-1.296,0.395,0.773,9.48E-01
ZNF260,-0.925,8.23E-01,-1.33,0.355,0.773,9.48E-01
BACH2,-1.493,9.32E-01,-0.866,0.381,0.774,9.48E-01
GLI2,-1.666,9.52E-01,-2.37,0.458,0.774,9.48E-01
CDK7,-1.768,9.61E-01,-2.291,0.455,0.776,9.49E-01
ZNF610,-1.029,8.48E-01,-2.294,0.424,0.779,9.52E-01
STAT2,-1.537,9.38E-01,-1.67,0.413,0.782,9.53E-01
ASXL1,-0.635,7.37E-01,-2.368,0.387,0.782,9.53E-01
FOXD2,-0.866,8.07E-01,-1.736,0.362,0.783,9.54E-01
LEO1,-0.853,8.03E-01,-1.783,0.364,0.784,9.54E-01
GLI4,-1.028,8.48E-01,-1.668,0.379,0.784,9.54E-01
HDAC1,-2.84,9.98E-01,-2.724,0.475,0.784,9.55E-01
ETS1,-4.015,1.00E+00,-2.189,0.463,0.785,9.55E-01
MTA3,-1.595,9.45E-01,-1.793,0.416,0.787,9.56E-01
FEV,-0.944,8.27E-01,-1.495,0.352,0.787,9.57E-01
KRAB,-1.726,9.58E-01,-1.215,0.393,0.79,9.59E-01
ASCL2,-0.899,8.16E-01,-1.696,0.359,0.791,9.59E-01
ZFX,-3.129,9.99E-01,-2.57,0.471,0.792,9.60E-01
GTF2A2,-1.113,8.67E-01,-1.106,0.327,0.792,9.60E-01
ZNF639,-1.886,9.70E-01,-1.847,0.426,0.793,9.60E-01
NCAPH2,-0.8,7.88E-01,-2.386,0.4,0.793,9.60E-01
INTS12,-0.694,7.56E-01,-2.316,0.382,0.794,9.61E-01
SCML2,-0.989,8.39E-01,-2.117,0.397,0.794,9.61E-01
MYH11,-1.354,9.12E-01,-2.857,0.441,0.796,9.62E-01
ELL2,-2.836,9.98E-01,-1.867,0.433,0.797,9.62E-01
BPTF,-0.676,7.51E-01,-2.488,0.383,0.798,9.63E-01
CPSF3L,-1.934,9.73E-01,-1.985,0.431,0.798,9.63E-01
CENPC,-1.614,9.47E-01,-0.241,0.219,0.798,9.63E-01
ERCC6,-1.048,8.53E-01,-2.341,0.411,0.8,9.64E-01
EP400,-0.896,8.15E-01,-1.9,0.359,0.803,9.66E-01
STAT5,-2.386,9.92E-01,-1.552,0.411,0.804,9.66E-01
MYCN,-2.358,9.91E-01,-2.141,0.439,0.804,9.66E-01
ZNF483,-0.831,7.97E-01,-2.142,0.367,0.807,9.68E-01
CD59,-1.067,8.57E-01,-1.494,0.333,0.807,9.68E-01
ZBTB40,-1.966,9.75E-01,-1.98,0.423,0.809,9.69E-01
E2F1,-7.802,1.00E+00,-2.506,0.462,0.811,9.70E-01
NPAT,-0.927,8.23E-01,-1.913,0.355,0.812,9.70E-01
SETD1A,-0.922,8.22E-01,-2.992,0.407,0.813,9.71E-01
SUPT5H,-3.311,1.00E+00,-2.372,0.45,0.814,9.71E-01
TAF1,-2.884,9.98E-01,-2.519,0.452,0.815,9.72E-01
MGEA5,-0.757,7.76E-01,-2.485,0.375,0.816,9.72E-01
ZBTB10,-1.092,8.63E-01,-1.618,0.33,0.817,9.72E-01
HOXA1,-1.123,8.69E-01,-1.506,0.325,0.817,9.73E-01
MBTD1,-0.879,8.10E-01,-2.167,0.361,0.818,9.73E-01
INO80,-2.282,9.89E-01,-2.213,0.432,0.819,9.73E-01
AFF4,-3.689,1.00E+00,-2.308,0.445,0.819,9.73E-01
RAG2,-0.724,7.66E-01,-2.973,0.379,0.82,9.74E-01
CHD1,-4.108,1.00E+00,-2.666,0.456,0.82,9.74E-01
