TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
PGBD3,1.669,4.76E-02,2.069,0.629,0.105,5.15E-03
TTF1,1.795,3.64E-02,2.793,0.577,0.105,5.20E-03
HHEX,1.856,3.17E-02,2.601,0.58,0.106,5.31E-03
LARP7,1.716,4.31E-02,3.064,0.576,0.106,5.37E-03
ZC3H8,1.874,3.05E-02,2.053,0.613,0.106,5.42E-03
PPARGC1A,1.499,6.70E-02,2.487,0.593,0.112,6.35E-03
RING1,1.859,3.15E-02,2.405,0.583,0.112,6.35E-03
SMAD2,2.092,1.82E-02,2.129,0.593,0.113,6.41E-03
EP300,3.064,1.09E-03,1.231,0.653,0.113,6.47E-03
ZBTB2,1.803,3.57E-02,2.108,0.6,0.116,6.98E-03
SMARCA4,2.26,1.19E-02,1.214,0.686,0.118,7.31E-03
SFPQ,1.352,8.82E-02,3.301,0.58,0.118,7.38E-03
HNF1B,1.574,5.78E-02,2.12,0.602,0.123,8.36E-03
ZNF438,1.512,6.52E-02,2.956,0.573,0.124,8.58E-03
PRKDC,1.947,2.58E-02,2.497,0.566,0.126,8.96E-03
MBD4,1.37,8.54E-02,2.623,0.582,0.126,8.96E-03
POU5F1,3.665,1.24E-04,1.697,0.58,0.127,9.12E-03
SNAI2,3.382,3.59E-04,1.88,0.575,0.13,9.83E-03
STAG1,3.814,6.84E-05,0.818,0.656,0.13,9.92E-03
DAXX,1.763,3.90E-02,2.326,0.573,0.132,1.03E-02
JMJD6,2.624,4.35E-03,0.852,0.71,0.132,1.03E-02
ZNF207,1.792,3.65E-02,3.198,0.559,0.132,1.04E-02
CHD4,2.627,4.31E-03,1.379,0.6,0.133,1.07E-02
ARNT,1.398,8.11E-02,2.982,0.57,0.134,1.08E-02
NONO,1.377,8.43E-02,3.324,0.568,0.134,1.09E-02
TEAD1-TEAD4,1.467,7.12E-02,2.161,0.591,0.136,1.12E-02
EOMES,1.817,3.46E-02,2.133,0.577,0.137,1.16E-02
ESR1,2.487,6.44E-03,1.254,0.604,0.138,1.17E-02
HJURP,1.218,1.12E-01,3.259,0.57,0.139,1.22E-02
NIPBL,1.734,4.15E-02,1.237,0.639,0.142,1.29E-02
HEXIM1,2.493,6.33E-03,2.064,0.566,0.143,1.31E-02
ZMIZ1,1.409,7.94E-02,1.783,0.603,0.145,1.38E-02
ZNF292,1.2,1.15E-01,2.787,0.569,0.149,1.48E-02
IRF9,1.488,6.84E-02,2.502,0.564,0.152,1.57E-02
NR3C1,2.379,8.68E-03,1.201,0.595,0.152,1.58E-02
GATAD2B,1.624,5.22E-02,2.518,0.558,0.152,1.58E-02
STAT3,1.884,2.98E-02,0.969,0.643,0.153,1.61E-02
FOXO3,1.161,1.23E-01,2.769,0.569,0.153,1.63E-02
TSC22D4,1.074,1.41E-01,2.098,0.603,0.153,1.63E-02
RUNX2,1.452,7.32E-02,2.681,0.561,0.153,1.63E-02
ZMYM3,2.173,1.49E-02,1.496,0.583,0.154,1.64E-02
TCF4,1.031,1.51E-01,1.527,0.707,0.154,1.64E-02
ESCO2,1.374,8.47E-02,2.11,0.583,0.155,1.66E-02
MYBL2,1.231,1.09E-01,2.415,0.571,0.155,1.66E-02
DRAP1,1.465,7.15E-02,1.794,0.59,0.156,1.72E-02
PCGF2,1.812,3.50E-02,1.767,0.576,0.158,1.77E-02
ZNF354C,1.142,1.27E-01,2.932,0.565,0.159,1.82E-02
NANOG,2.581,4.93E-03,1.702,0.564,0.161,1.87E-02
C17orf49,1.784,3.72E-02,1.504,0.586,0.162,1.91E-02
